prenom,n_f,n_m
AIGLINE,20,0
AIGNAN,5,10
AIHAM,0,10
AIKA,25,0
AIKEL,0,15
AIKO,285,125
AIKY,0,15
AILA,195,0
AILAH,5,0
AILAN,0,90
AILANA,5,0
AILANE,0,15
AILANN,0,25
AILANY,5,0
AILEAN,0,5
AILEE,5,0
AILEEN,450,0
AILEY,75,40
AILIE,5,0
AILINE,70,0
AILIS,35,0
AILLY,5,0
AILSA,5,0
AILVIN,0,25
AILY,125,0
AILYN,35,0
AILYNE,110,0
AILYNN,5,0
AILYS,155,0
AILYSS,5,0
AIMA,345,0
AIMABLE,115,1080
AIMAD,0,220
AIMADE,0,15
AIMADOU,0,5
AIMAN,10,425
AIMANE,15,435
AIMAR,0,10
AIME,135,40570
AIMED,0,50
AIMEE,28810,65
AIMELIA,5,0
AIMELIE,5,0
AIMELINE,120,0
AIMELYNE,30,0
AIMEN,0,900
AIMENE,0,65
AIMERIC,0,745
AIMERICK,0,125
AIMERIK,0,5
AIMERY,0,240
AIMERYC,0,15
AIMERYCK,0,5
AIMI,10,0
AIMIE,1100,0
AIMIN,0,5
AIMINE,0,5
AIMJY,0,5
AIMMEE,30,0
AIMRAN,0,15
AIMRANE,0,25
AIMRIC,0,5
AIMY,1855,0
AINA,2350,105
AINA-KEA,5,0
AINAA,5,0
AINAH,65,0
AINARA,270,0
AINAYA,10,0
AINCHA,15,0
AINES,85,10
AINHOA,1765,0
AINI,40,0
AINIS,0,5
AINNA,35,0
AINOA,405,0
AINOAH,5,0
AINOHA,125,0
AINOLA,5,0
AINSLEY,5,20
AINTZANE,10,0
AIOUB,0,5
AIRA,35,0
AIRELLE,110,0
AIRES,0,10
AIRON,0,70
AIRY,0,25
AISAM,0,10
AISATA,20,0
AISATOU,25,0
AISE,15,0
AISETA,5,0
AISETOU,10,0
AISHA,2480,0
AISHANI,5,0
AISHWARYA,70,0
AISLING,15,0
AISLINN,45,0
AISLYNN,5,0
AISMEE,55,0
AISOSA,25,20
AISSA,845,4045
AISSAM,0,570
AISSAME,0,20
AISSAN,0,5
AISSATA,3265,0
AISSATOU,3025,0
AISSE,700,0
AISSEM,0,5
AISSETA,185,0
AISSETOU,460,0
AISSIA,90,0
AISSYA,10,0
AITA,45,0
AITANA,370,0
AITO,0,20
AITOR,0,215
AIVY,315,0
AIWEN,0,80
AIWENN,15,0
AIXANDRE,0,15
AIYA,240,0
AIYANA,485,0
AIYANAH,5,0
AIYANNA,90,0
AIYDEN,0,5
AIYLA,20,0
AIYNA,5,0
AIYOUB,0,10
AIZA,170,0
AIZAH,20,0
AIZAL,40,0
AIZEN,0,45
AJAD,0,10
AJAI,0,5
AJAN,0,160
AJANA,20,0
AJANI,0,5
AJANTHAN,0,10
AJAR,55,0
AJAX,0,10
AJAY,0,185
AJDIN,0,45
AJEESH,0,25
AJISH,0,5
AJISHAN,0,5
AJITH,0,10
AJITHA,5,0
AJLA,160,0
AJLIN,10,0
AJLINA,10,0
AJMAL,0,5
AJNA,50,0
AJNUR,0,5
AJSA,10,0
AJSI,15,0
AJWA,25,0
AJWAD,0,5
AKA,5,15
AKAN,0,25
AKANA,5,0
AKANE,15,0
AKARAN,0,60
AKARSHAN,0,5
AKASH,0,145
AKASHA,10,0
AKASYA,35,0
AKAY,0,10
AKBAR,0,10
AKCEL,0,20
AKCIL,0,10
AKEEM,0,55
AKEILA,5,0
AKELA,10,0
AKEMI,20,0
AKHAN,0,5
AKHARA,0,5
AKHEANE,20,0
AKHESA,10,0
AKHIL,0,15
AKHIM,0,10
AKHMAD,0,40
AKHMED,0,30
AKHMET,0,5
AKI,0,5
AKIA,10,0
AKIBA,0,5
AKIF,0,315
AKIKO,10,0
AKIL,0,400
AKILA,665,0
AKILAH,5,0
AKILAN,0,5
AKILINA,5,0
AKIM,0,3840
AKIMA,455,0
AKIMAL,0,5
AKIME,0,20
AKIMI,0,5
AKIN,0,370
AKINA,40,0
AKIO,0,35
AKIRA,100,230
AKISH,0,5
AKISHAN,0,10
AKISSI,60,0
AKITO,0,15
AKIVA,0,80
AKLI,0,730
AKMAL,0,70
AKMAR,0,40
AKON,0,5
AKOUBA,5,0
AKOUVI,5,0
AKPA,0,5
AKRAM,0,2550
AKRAME,0,105
AKREM,0,15
AKSA,30,0
AKSAM,0,15
AKSANA,5,0
AKSANTI,0,5
AKSARA,5,0
AKSAYA,10,0
AKSEL,15,3095
AKSHA,10,0
AKSHAJAN,0,5
AKSHAN,0,15
AKSHANA,25,0
AKSHARA,140,0
AKSHARAN,0,15
AKSHAY,0,50
AKSHAYA,205,0
AKSHAYAN,0,75
AKSHEY,0,5
AKSHIKA,10,0
AKSHITH,0,35
AKSHITHA,10,0
AKSIL,0,1080
AKSIM,0,40
AKSSAM,0,10
AKSYL,0,50
AKYL,0,10
AKYM,0,20
AL,25,530
AL-AMINE,0,45
AL-FAYED,0,10
AL-HABIB,0,5
AL-HASSAN,0,80
AL-HASSANE,0,20
AL-HUSSEIN,0,30
AL-JANNAH,5,0
AL-YASSA,0,5
ALA,115,75
ALA-EDDINE,0,25
ALAA,1035,175
ALAA-EDDINE,0,15
ALAAE,10,0
ALABAMA,35,0
ALADDIN,0,10
ALADIN,0,165
ALADINE,0,10
ALADJI,0,125
ALAE,430,60
ALAE-EDDINE,0,5
ALAEDDINE,0,215
ALAEDINE,0,45
ALAI,5,5
ALAIA,860,0
ALAIN,20,506945
ALAIN-CHARLES,0,5
ALAIN-CLAUDE,0,10
ALAIN-JUNIOR,0,5
ALAIN-MICHEL,0,20
ALAIN-PAUL,0,10
ALAIN-PIERRE,0,55
ALAINA,180,0
ALAINE,5,0
ALAIS,1175,0
ALAITZ,5,0
ALAIYA,15,0
ALAKANA,0,5
ALAMA,5,15
ALAMAKO,5,0
ALAMANDA,5,0
ALAMEA,5,0
ALAMIN,0,5
ALAN,0,21105
ALANA,2755,0
ALANAH,50,0
ALANDRA,5,0
ALANE,5,385
ALANEO,0,10
ALANI,5,0
ALANIS,245,0
ALANN,0,735
ALANNA,240,0
ALANNAH,150,0
ALANNE,0,10
ALANYS,10,0
ALANZO,0,85
ALAOUA,0,20
ALAOUI,0,10
ALAOUIA,5,0
ALARA,70,0
ALARIC,0,1050
ALARICK,0,80
ALARIK,0,5
ALARYC,0,10
ALASKA,5,0
ALASSAN,0,75
ALASSANA,0,10
ALASSANE,0,1500
ALASTAIR,0,10
ALATA,0,5
ALAYA,315,10
ALAYAH,55,0
ALAYNA,270,0
ALAYS,15,0
ALAZ,0,95
ALBA,17050,0
ALBA-MARIA,15,0
ALBA-ROSE,5,0
ALBAIN,0,125
ALBAN,60,29435
ALBANA,10,0
ALBANE,15710,0
ALBANIE,1010,0
ALBANNE,240,0
ALBANO,0,195
ALBANS,0,5
ALBARAA,0,5
ALBARO,0,5
ALBENA,20,0
ALBERIA,5,0
ALBERIC,5,1990
ALBERIE,5,10
ALBERT,65,204320
ALBERTA,425,0
ALBERTE,9130,0
ALBERTHE,50,0
ALBERTIN,0,10
ALBERTINA,240,0
ALBERTINE,28215,0
ALBERTINO,0,35
ALBERTO,0,2200
ALBERTY,0,5
ALBI,0,15
ALBIAN,0,5
ALBIE,0,5
ALBIN,0,5945
ALBINA,450,0
ALBINE,1365,0
ALBINO,0,325
ALBION,0,40
ALBRECHT,0,30
ALBUS,0,5
ALBY,5,0
ALCE,0,20
ALCEA,5,0
ALCEE,0,65
ALCESTE,0,5
ALCIBIADE,0,20
ALCIDA,165,0
ALCIDE,5,3660
ALCIDES,0,40
ALCIDIE,180,0
ALCIDIO,0,10
ALCIME,0,360
ALCINA,85,0
ALCINDA,10,0
ALCINE,10,0
ALCINO,0,100
ALCYONE,15,0
ALDA,520,0
ALDE,0,30
ALDEBARAN,0,5
ALDEE,5,0
ALDEGONDE,90,0
ALDEN,0,25
ALDERIC,0,195
ALDERICK,0,15
ALDIANA,5,0
ALDIN,0,65
ALDINA,125,0
ALDINE,30,0
ALDINO,0,5
ALDIOUMA,5,0
ALDJA,5,0
ALDJIA,235,0
ALDO,0,3695
ALDONCE,0,10
ALDRIC,0,1160
ALDRICK,0,170
ALDRIK,0,25
ALDRIN,0,15
ALDRYK,0,5
ALDWIN,0,160
ALEA,220,0
ALEANA,10,0
ALEANDRA,15,0
ALEANDRO,0,145
ALEANE,10,0
ALEANOR,5,0
ALEAUME,0,10
ALEC,20,2035
ALECIA,120,0
ALECIO,0,75
ALECK,0,205
ALECYA,5,0
ALEEN,20,0
ALEENA,140,0
ALEESHA,5,0
ALEEYAH,45,0
ALEEZA,20,0
ALEGANDRO,0,5
ALEGRIA,40,0
ALEHANDRO,0,10
ALEIA,35,0
ALEINA,70,0
ALEIX,0,10
ALEJANDRA,50,0
ALEJANDRO,0,755
ALEK,0,435
ALEKS,0,155
ALEKSA,0,105
ALEKSANDAR,0,680
ALEKSANDER,0,250
ALEKSANDR,0,95
ALEKSANDRA,580,0
ALEKSANDRE,0,130
ALEKSEI,0,75
ALEKSEJ,0,15
ALEKSEY,0,40
ALEKSI,0,135
ALEKSIA,40,0
ALEKSY,0,75
ALEM,0,55
ALEN,0,375
ALENA,995,0
ALENAS,0,5
ALENKA,5,0
ALENZO,0,340
ALEPH,0,25
ALEQSANDRE,0,5
ALERA,5,0
ALERANDRO,0,5
ALERIA,20,0
ALES,0,320
ALESANDRO,0,5
ALESIA,440,0
ALESIO,0,170
ALESIU,0,25
ALESSA,190,0
ALESSANDRA,850,0
ALESSANDRE,0,5
ALESSANDRO,0,4180
ALESSI,0,5
ALESSIA,3535,0
ALESSIO,0,10945
ALESSYA,160,0
ALESSYO,0,320
ALESTIN,0,5
ALESYA,5,0
ALESYO,0,5
ALETH,790,0
ALETTE,5,0
ALEV,205,0
ALEX,780,31820
ALEX-ANN,5,0
ALEX-ANNE,10,0
ALEX-JUNIOR,0,5
ALEXA,2110,0
ALEXAN,0,155
ALEXANA,10,0
ALEXANDAR,0,20
ALEXANDER,0,2650
ALEXANDERS,0,5
ALEXANDR,0,65
ALEXANDRA,93515,15
ALEXANDRA-MARIE,5,0
ALEXANDRE,195,306030
ALEXANDRE-BENOIT,0,10
ALEXANDRIA,25,0
ALEXANDRIE,200,0
ALEXANDRINA,230,0
ALEXANDRINE,14065,5
ALEXANDRINO,0,5
ALEXANDRO,0,680
ALEXANDROS,0,85
ALEXANDRU,0,675
ALEXANDRY,5,0
ALEXANE,3715,0
ALEXANN,5,0
ALEXANNE,295,0
ALEXCIA,5,0
ALEXE,185,0
ALEXEI,0,305
ALEXENDRE,0,10
ALEXEY,0,65
ALEXI,5,1860
ALEXIA,37665,10
ALEXIAN,0,665
ALEXIANA,15,0
ALEXIANE,2290,0
ALEXIANNE,150,0
ALEXIAS,20,0
ALEXIDA,5,0
ALEXIDE,15,0
ALEXIE,1700,0
ALEXIEL,5,10
ALEXIEN,0,5
ALEXIN,0,95
ALEXINA,1235,0
ALEXINE,1845,0
ALEXIO,0,310
ALEXIOS,0,30
ALEXIS,425,150585
ALEXSANDRA,5,0
ALEXSANDRO,0,5
ALEXY,80,4625
ALEXYA,295,0
ALEXYAN,0,15
ALEXYANE,20,0
ALEXYO,0,10
ALEXYS,0,375
ALEYA,185,0
ALEYAH,120,0
ALEYANA,5,0
ALEYNA,3355,0
ALEYNA-NUR,15,0
ALEYNAH,25,0
ALEYSSIO,0,5
ALEZIA,95,0
ALEZIO,0,380
ALEZYO,0,20
ALEZZIO,0,5
ALFA,5,45
ALFAYED,0,25
ALFEO,0,25
ALFIE,0,100
ALFIERO,0,5
ALFIO,0,80
ALFIYA,65,0
ALFONS,0,5
ALFONSA,10,0
ALFONSE,0,5
ALFONSO,0,600
ALFOUSSENY,0,10
ALFOUSSEYNI,0,5
ALFRED,20,65910
ALFREDA,5410,5
ALFREDE,165,10
ALFREDIE,5,0
ALFREDINE,965,0
ALFREDO,0,1140
ALGASSIMOU,0,5
ALGIA,40,0
ALHADJI,0,25
ALHAM,0,5
ALHAN,0,180
ALHANA,10,0
ALHASSAN,0,90
ALHASSANA,0,35
ALHASSANE,0,405
ALHEM,5,0
ALHENA,55,0
ALHOUSSEYNOU,0,5
ALHY,10,0
ALHYA,135,0
ALHYANA,5,0
ALI,55,31585
ALI-ASAF,0,35
ALI-AZGAR,0,5
ALI-CAN,0,5
ALI-EREN,0,35
ALI-HAN,0,5
ALI-HASSAN,0,5
ALI-HAYDAR,0,5
ALI-IMRAN,0,35
ALI-MEHDI,0,5
ALI-MOHAMED,0,5
ALI-OSMAN,0,30
ALI-RIZA,0,5
ALI-ZAYN,0,5
ALIA,5315,20
ALIAA,30,0
ALIAH,245,0
ALIAN,0,15
ALIANA,290,0
ALIANE,0,10
ALIANNA,25,0
ALIANO,0,10
ALIANOR,5,0
ALIAS,0,50
ALIASAF,0,5
ALIAUME,0,90
ALIBERT,0,60
ALIC,0,5
ALICA,10,0
ALICAN,0,130
ALICE,210680,110
ALICE-ANNE,35,0
ALICE-MARIE,5,0
ALICEA,20,0
ALICIA,52995,0
ALICIANE,70,0
ALICIANNE,5,0
ALICIE,5,0
ALICIO,0,30
ALICJA,125,0
ALICK,0,135
ALICYA,620,0
ALIDA,2205,0
ALIDOR,0,75
ALIE,90,0
ALIENOR,6110,0
ALIENORE,35,0
ALIETTE,3895,0
ALIF,15,20
ALIFA,5,0
ALIHA,5,0
ALIHAN,0,180
ALIHYA,15,0
ALIIHSAN,0,5
ALIJA,0,5
ALIJAH,5,5
ALIK,0,75
ALIKA,30,0
ALIKHAN,0,10
ALIM,0,530
ALIMA,1055,0
ALIMAMY,0,20
ALIMAN,5,0
ALIMATA,125,0
ALIMATOU,125,0
ALIME,20,0
ALIMOU,0,40
ALIN,25,450
ALINA,3200,0
ALINAH,5,0
ALINE,91360,0
ALINOE,15,5
ALINOEE,5,0
ALINOR,5,0
ALIOCHA,5,480
ALIONA,245,0
ALIOSHA,0,55
ALIOTH,0,5
ALIOU,0,920
ALIOUNE,0,630
ALIOUNE-BADARA,0,10
ALIPIO,0,30
ALIRIZA,0,10
ALIS,105,0
ALISA,480,0
ALISAIE,5,0
ALISAN,0,10
ALISE,320,10
ALISEA,245,0
ALISEE,375,0
ALISHA,480,0
ALISHAN,0,5
ALISHBA,25,0
ALISIA,140,0
ALISINA,0,5
ALISIO,0,5
ALISJA,5,0
ALISON,16005,10
ALISONE,225,0
ALISONN,5,0
ALISONNE,20,0
ALISSA,2155,0
ALISSANDRE,90,0
ALISSAR,10,0
ALISSE,20,0
ALISSIA,1055,0
ALISSIO,0,5
ALISSON,4390,10
ALISSONE,200,0
ALISSYA,215,0
ALISTAIR,0,795
ALISTER,0,225
ALISYA,45,0
ALITA,85,0
ALITIA,10,0
ALIX,31620,9670
ALIX-ANNE,40,0
ALIXAN,0,40
ALIXANE,45,0
ALIXE,1285,0
ALIXIA,515,0
ALIXIAN,0,5
ALIXYA,5,0
ALIYA,7460,0
ALIYAA,10,0
ALIYAAH,50,0
ALIYAAN,0,5
ALIYAH,7055,0
ALIYAN,0,20
ALIYANA,50,0
ALIYANNAH,5,0
ALIYAR,0,25
ALIYE,45,0
ALIYYA,10,0
ALIYYAH,50,0
ALIZ,10,0
ALIZA,360,0
ALIZAH,5,0
ALIZAY,5,0
ALIZE,2205,10
ALIZEA,780,0
ALIZEE,14390,0
ALIZEH,10,0
ALIZIA,120,0
ALIZIO,0,5
ALIZON,5,0
ALJIA,20,0
ALKALY,0,35
ALKAN,0,25
ALKETA,5,0
ALKIS,0,5
ALLA,50,5
ALLA-EDDINE,0,5
ALLAA,10,0
ALLAE,20,0
ALLAIN,0,2965
ALLAL,0,145
ALLAN,0,17765
ALLANA,115,0
ALLANDE,0,120
ALLANE,0,70
ALLANN,0,30
ALLANZO,0,10
ALLAOUA,0,95
ALLAOUI,0,15
ALLASSANE,0,50
ALLEAUME,0,5
ALLEGRA,190,0
ALLEGRESSE,25,0
ALLEGRIA,5,0
ALLEL,0,45
ALLEN,0,270
ALLESSYO,0,5
ALLHYA,5,0
ALLI,0,10
ALLIA,230,0
ALLIAH,70,0
ALLIANA,5,0
ALLIANCE,10,0
ALLIAUME,0,20
ALLICIA,55,0
ALLIE,100,0
ALLIETTE,205,0
ALLINE,5,0
ALLISON,5520,0
ALLISONE,5,0
ALLISSA,5,0
ALLISSIA,100,0
ALLISSON,490,0
ALLISTAIR,0,35
ALLISTER,0,15
ALLIX,10,0
ALLIYA,140,0
ALLIYAH,245,0
ALLIZEE,5,0
ALLMA,5,0
ALLON,0,5
ALLONZO,0,15
ALLY,275,10
ALLYA,625,0
ALLYAH,395,0
ALLYANA,30,0
ALLYANNA,5,0
ALLYCIA,160,0
ALLYHA,20,0
ALLYN,5,0
ALLYNA,5,0
ALLYRE,0,35
ALLYRIANE,15,0
ALLYSON,800,0
ALLYSONE,5,0
ALLYSSA,120,0
ALLYSSIA,110,0
ALLYSSON,65,0
ALMA,14650,10
ALMA-MARIA,5,0
ALMA-ROSE,15,0
ALMAH,55,0
ALMAHDI,0,10
ALMAIDE,30,0
ALMAMI,0,10
ALMAMY,0,275
ALMANY,0,5
ALMANZO,0,50
ALMAS,330,25
ALMASS,40,0
ALMASSA,5,0
ALMASSE,40,0
ALMAZ,55,0
ALMEDIN,0,15
ALMEDINA,25,0
ALMEE,10,0
ALMENZO,0,10
ALMERIA,5,0
ALMERINDA,35,0
ALMESSE,5,0
ALMILA,165,0
ALMIN,0,20
ALMINA,245,0
ALMIR,0,170
ALMIRA,180,0
ALMIRE,15,265
ALMONZO,0,15
ALMUDENA,10,0
ALMYRE,0,25
ALNA,10,0
ALODIE,90,5
ALOE,50,20
ALOHA,35,0
ALOIS,395,8050
ALOISE,715,1765
ALOISIA,5,0
ALOISIO,0,5
ALOISSE,5,0
ALOISSIA,5,0
ALOMA,10,0
ALON,0,335
ALONA,95,0
ALONDRA,10,0
ALONE,0,210
ALONN,0,10
ALONSO,0,395
ALONZO,0,1065
ALORA,15,0
ALOU,0,80
ALOUNA,5,0
ALOY,80,10
ALOYS,5,1525
ALOYSE,145,2595
ALOYSIA,85,0
ALP,0,170
ALP-ARSLAN,0,5
ALPARSLAN,0,340
ALPASLAN,0,190
ALPAY,0,110
ALPER,0,485
ALPEREN,0,650
ALPHA,0,1185
ALPHA-AMADOU,0,5
ALPHA-IBRAHIMA,0,5
ALPHA-OUMAR,0,85
ALPHAOUMAR,0,5
ALPHE,0,10
ALPHEE,20,115
ALPHENA,10,0
ALPHONSA,5,0
ALPHONSE,65,43730
ALPHONSIA,85,0
ALPHONSINE,13315,0
ALPHONSO,0,150
ALPINIEN,0,5
ALRIC,0,405
ALRICK,0,365
ALRIK,0,90
ALSACE,130,0
ALSAN,0,5
ALSENY,0,160
ALSINA,5,0
ALTAF,5,0
ALTAIR,0,110
ALTAN,0,165
ALTAY,0,95
ALTEA,85,0
ALTEO,0,5
ALTHEA,500,0
ALTIN,0,60
ALTINA,20,0
ALTINE,5,0
ALTINO,0,10
ALUNA,15,0
ALVA,145,0
ALVANA,5,0
ALVANIE,5,0
ALVAR,0,10
ALVARO,0,900
ALVES,0,5
ALVEY,0,5
ALVI,0,10
ALVIN,0,1880
ALVINA,715,0
ALVINE,185,160
ALVINN,0,5
ALVINO,0,10
ALVIO,0,5
ALVIRA,20,0
ALVIS,0,5
ALVY,0,15
ALVYN,0,335
ALVYNA,5,0
ALWEN,55,0
ALWENA,1335,0
ALWENN,65,0
ALWENNA,295,0
ALWIN,0,245
ALWINE,80,0
ALWYN,0,35
ALY,35,1245
ALYA,12845,20
ALYA-NOUR,5,0
ALYAA,75,0
ALYAAH,20,0
ALYAE,5,0
ALYAH,2430,0
ALYAM,0,10
ALYAN,0,105
ALYANA,690,0
ALYANAH,55,0
ALYANE,0,10
ALYANNA,180,0
ALYANNAH,15,0
ALYAS,0,5
ALYASSA,0,5
ALYCE,205,0
ALYCIA,5965,0
ALYCIANE,5,0
ALYETTE,320,0
ALYHA,95,0
ALYIA,130,0
ALYIAH,25,0
ALYM,0,5
ALYMA,45,0
ALYMAH,5,0
ALYNA,490,0
ALYNAH,5,0
ALYNE,205,0
ALYNNA,20,0
ALYONA,125,0
ALYOSHA,0,25
ALYOU,0,5
ALYRE,5,55
ALYS,430,0
ALYSA,30,0
ALYSE,40,0
ALYSEA,90,0
ALYSEE,475,0
ALYSHA,170,0
ALYSIA,60,0
ALYSON,3055,0
ALYSONE,90,0
ALYSONN,10,0
ALYSONNE,10,0
ALYSS,35,0
ALYSSA,11475,0
ALYSSAH,10,0
ALYSSANDRE,15,0
ALYSSE,200,0
ALYSSIA,4285,0
ALYSSIO,0,40
ALYSSON,1445,0
ALYSSONE,50,0
ALYSSONNE,5,0
ALYTA,5,0
ALYX,240,85
ALYXE,20,0
ALYXIA,55,0
ALYZE,70,0
ALYZEA,150,0
ALYZEE,755,0
ALYZIA,10,0
ALZINA,20,0
ALZIRA,105,0
ALZIRE,65,20
AMA,115,0
AMAAL,10,0
AMAAN,0,25
AMABILE,55,0
AMABLE,10,320
AMAD,0,30
AMADA,0,5
AMADEA,25,0
AMADEO,0,380
AMADEU,0,50
AMADEUS,0,75
AMADI,0,45
AMADIS,0,20
AMADO,0,25
AMADOR,0,115
AMADOU,0,3600
AMADOU-OURY,0,5
AMADOU-TIDIANE,0,30
AMADU,0,10
AMADY,0,85
AMAE,35,10
AMAEL,25,2965
AMAELLE,590,0
AMAELYS,15,0
AMAH,5,0
AMAHYA,5,0
AMAIA,1985,0
AMAIUR,5,50
AMAL,3655,150
AMALDINE,0,20
AMALE,630,0
AMALI,10,0
AMALIA,4940,0
AMALIAH,20,0
AMALIE,195,0
AMALIO,0,15
AMALIYA,150,0
AMALIYAH,20,0
AMALLE,70,0
AMALLIA,5,0
AMALLYA,10,0
AMALRIC,0,110
AMALY,5,0
AMALYA,1595,0
AMALYAH,75,0
AMALYS,25,0
AMAN,15,245
AMANA,275,0
AMANAH,10,0
AMANALLAH,20,5
AMANAT,5,0
AMANCE,260,20
AMANCIO,0,10
AMAND,0,3580
AMANDA,6800,0
AMANDE,270,0
AMANDEEP,0,5
AMANDIN,0,20
AMANDINE,96200,0
AMANDIO,0,105
AMANDYNE,100,0
AMANE,225,175
AMANI,1690,255
AMANIE,85,0
AMANN,0,10
AMANS,0,130
AMANT,0,30
AMANTE,95,0
AMANTHE,50,0
AMANTINE,20,0
AMANUEL,0,15
AMANY,270,30
AMANZA,5,0
AMAO,0,5
AMAPOLA,60,0
AMAR,5,6890
AMARA,835,1165
AMARACHI,15,0
AMARAH,25,0
AMARANDE,125,0
AMARANTE,30,0
AMARANTHE,15,0
AMARD,0,5
AMARI,5,65
AMARIA,575,0
AMARIAH,5,0
AMARILLYS,5,0
AMARILYS,15,0
AMARIN,0,35
AMARINE,75,0
AMARIS,50,15
AMARO,0,105
AMARU,0,60
AMARY,0,35
AMARYA,30,0
AMARYAH,20,0
AMARYLIS,5,0
AMARYLLIS,330,0
AMASTAN,0,15
AMATALLAH,20,0
AMATEUR,0,15
AMATH,0,60
AMATOULLAH,95,0
AMATULLAH,75,0
AMAURI,0,30
AMAURIE,15,0
AMAURINE,5,0
AMAURY,0,21035
AMAURYNE,25,0
AMAVI,0,5
AMAYA,3065,0
AMAYAH,110,0
AMAYAS,0,380
AMAYEL,35,0
AMAYELLE,40,0
AMAYES,0,120
AMAYRA,25,0
AMAZIAH,0,5
AMAZIGH,0,90
AMAZIR,0,50
AMAZONE,10,0
AMAZONIE,5,0
AMBAR,10,0
AMBDI,0,5
AMBDILLAH,0,30
AMBDILLAHI,0,5
AMBDOU,0,30
AMBDOU-RAOUF,0,5
AMBDOU-ROIHAMANE,0,5
AMBDOU-ROIHIM,0,5
AMBDOU-ROIHMANE,0,5
AMBDOUL,0,10
AMBDOUL-ANZIZE,0,5
AMBDOUL-FATAHOU,0,5
AMBDOUL-KARIM,0,25
AMBDOULLAH,0,20
AMBDOURAHAMANE,0,15
AMBDOURAHIM,0,5
AMBDOUROIHAMANE,0,10
AMBDOUROIHIM,0,15
AMBELINE,20,0
AMBER,640,0
AMBERINE,15,0
AMBERLY,35,0
AMBININTSOA,0,5
AMBLA,5,0
AMBRA,125,0
AMBRE,65145,90
AMBRE-MARIE,5,0
AMBRE-OCEANE,5,0
AMBREEN,15,0
AMBRINA,5,0
AMBRINE,2710,0
AMBROISE,195,8895
AMBROISINE,1790,0
AMBROSE,0,115
AMBROSIA,25,0
AMBROSINE,5,0
AMBROSIO,0,10
AMBRYNE,65,0
AMBYA,5,0
AMDI,0,5
AMDJAD,0,50
AMDJED,0,5
AMDOUROIHIM,0,5
AMDY,0,30
AME,5,105
AMED,0,355
AMEDE,0,1310
AMEDEA,45,0
AMEDEE,620,7945
AMEDEEA,5,0
AMEDEO,0,175
AMEDI,0,20
AMEDINE,130,0
AMEDY,0,70
AMEEN,0,10
AMEENA,40,0
AMEENAH,5,0
AMEER,0,15
AMEERA,35,0
AMEERAH,15,0
AMEGLIO,0,5
AMEL,12500,140
AMELA,150,0
AMELE,465,0
AMELI,20,0
AMELIA,17350,0
AMELIANA,5,0
AMELIANE,45,0
AMELIE,98975,75
AMELIE-ANNE,5,0
AMELIE-ROSE,10,0
AMELIEN,0,290
AMELIN,0,5
AMELINA,570,0
AMELINDA,5,0
AMELINE,2405,0
AMELIO,0,60
AMELIS,10,0
AMELISSE,5,0
AMELIUS,0,110
AMELIYA,30,0
AMELJA,5,0
AMELL,10,0
AMELLE,1540,0
AMELLIA,15,0
AMELLYA,15,0
AMELY,435,0
AMELYA,1680,0
AMELYAH,20,0
AMELYNA,5,0
AMELYNE,170,0
AMELYS,205,0
AMEN,25,140
AMEN-ALLAH,0,35
AMENA,85,0
AMENADIEL,0,70
AMENALLAH,0,25
AMENATA,5,0
AMENAY,0,5
AMENI,160,0
AMENIE,30,0
AMENIS,30,0
AMENY,15,0
AMENZO,0,10
AMEO,0,10
AMER,0,110
AMERICO,0,230
AMERIE,5,0
AMERIGO,0,15
AMERINE,5,0
AMEROUCHE,0,10
AMERY,0,5
AMETH,0,5
AMETHYS,40,0
AMETHYSTE,125,0
AMETIS,5,0
AMETS,0,50
AMEUR,0,215
AMEYA,10,0
AMEZIANE,0,35
AMI,295,0
AMICA,15,0
AMICIA,90,0
AMICIE,755,0
AMID,0,80
AMIDA,15,5
AMIDOU,0,135
AMIE,30,0
AMIEL,10,220
AMIL,0,60
AMILA,45,0
AMILAH,5,0
AMILCAR,0,160
AMILCARE,0,5
AMILIA,80,0
AMILIE,5,0
AMILYA,25,0
AMIN,0,3780
AMINA,15695,0
AMINA-ZAHRA,5,0
AMINAH,125,0
AMINAT,90,0
AMINATA,9635,0
AMINATOU,195,0
AMINE,330,26285
AMINE-MOHAMED,0,5
AMINEDDINE,0,5
AMINETOU,5,0
AMINI,0,5
AMINTA,35,0
AMINTHE,95,0
AMIR,0,20555
AMIR-ALI,0,5
AMIRA,10370,0
AMIRAH,95,0
AMIRDINE,0,30
AMIRE,0,85
AMIRKHAN,0,25
AMIROUCHE,0,115
AMISHA,5,0
AMISSA,5,0
AMIT,0,25
AMITAI,0,5
AMIYA,10,0
AMJAD,0,1690
AMJED,0,310
AMLA,45,0
AMLAL,0,5
AMMA,35,0
AMMAL,10,0
AMMAR,0,695
AMMARA,30,0
AMMARIA,25,0
AMMEL,10,0
AMNA,770,0
AMNAH,5,0
AMNAY,0,50
AMNE,5,0
AMNI,20,0
AMO,0,5
AMODE,0,50
AMOKRANE,0,20
AMON,0,95
AMOR,5,520
AMORA,10,0
AMORI,0,35
AMORO,0,5
AMORY,0,610
AMOS,0,470
AMOUNA,5,0
AMOUR,275,450
AMPARO,405,15
AMR,0,120
AMRA,310,0
AMRAH,25,0
AMRAN,0,80
AMRANE,0,130
AMRE,0,5
AMREEN,10,0
AMRI,0,45
